halId_s,version_i,uri_s,docType_s,nntId_s,title_s,authFullName_s,producedDate_s,domain_s,page_s,country_s,language_s,licence_s
pasteur-00859434,1,https://hal-riip.archives-ouvertes.fr/pasteur-00859434,ART,,Isolation of active peptides from plant hydrolysates that promote Vero cells growth in stirred cultures.,"Samia Rourou,Rym Hssiki,Héla Kallel",2011-11-22,0.sdv,P116,,en,
hal-00433273,1,https://hal.archives-ouvertes.fr/hal-00433273,ART,,Minimum antibiotic levels for selecting a resistance plasmid in a gnotobiotic animal model.,"D. E. Corpet,S. Lumeau,F. Corpet",1989-04,"0.sdv,1.sdv.can",535-40,,en,
hal-01102900,1,https://hal.archives-ouvertes.fr/hal-01102900,ART,,Post-fire selective thinning of Arbutus unedo L. coppices keeps animal diversity unchanged: the case of ants,"Lídia Quevedo,Xavier Arnan,Olga Boet,Anselm Rodrigo",2014-12,0.sdv,897-905,,en,
hal-00540062,1,https://hal.archives-ouvertes.fr/hal-00540062,ART,,Analyses of the results of different test systems in the 2005 global proficiency testing schemes for Infectious Bursal Disease Virus and Newcastle Disease Virus antibody detection in chicken serum,"Sjaak De Wit,Huub van De Sande,Gerard Wellenberg,Guillaume Counotte",2007-04-04,,177-183,,en,
hal-00540071,1,https://hal.archives-ouvertes.fr/hal-00540071,ART,,Prevalence of mycoplasmas in eggs from birds of prey using culture and a genus-specific mycoplasma-PCR,"Michael Lierz,Nils Hagen,Nigel Harcourt-Brown,Stephen J Hernandez-Divers,Dörte Lüschow,Hafez Mohamed Hafez",2007-04-04,,145-150,,en,
hal-00479120,1,https://hal.archives-ouvertes.fr/hal-00479120,ART,,"Hemolytic anemia and alterations in hepatic iron metabolism in aged mice lacking Cu\,Zn-superoxide dismutase","Rafał Radoslaw Starzyński,François Canonne-Hergaux,Alexandra Willemetz,Mikołaj Antoni Gralak,Jarosław Woliński,Agnieszka Styś,Jarosław Olszak,Paweł Lipiński",2009-05-27,,383-390,,en,
hal-00724887,1,https://hal.archives-ouvertes.fr/hal-00724887,ART,,Non-anthropocentric reasoning in children: its incidence when they are confronted with ecological dilemmas,"António Almeida,Clara Maria Vasconcelos,Orlando Strecht-Ribeiro,Joana Torres",2011-08-23,"0.shs,1.shs.edu",1,,en,
hal-00658162,1,https://hal.archives-ouvertes.fr/hal-00658162,ART,,A Novel Class of PTEN Protein in Arabidopsis displays Unusual Phosphoinositide Phosphatase Activity and Efficiently Binds Phosphatidic Acid.,"Anne Pribat,Rodnay Sormani,Mathieu Rousseau,Magdalena M. Julkowska,Christa Testerink,Jerome Joubes,Michel Castroviejo,Michel Laguerre,Christian Meyer,Veronique Germain,Christophe Rothan",2011-12-14,,161-171,,en,
hal-00479098,1,https://hal.archives-ouvertes.fr/hal-00479098,ART,,"MYPT1\, the targeting subunit of smooth muscle myosin phosphatase\, is a substrate for the asparaginyl hydroxylase factor inhibiting hypoxia inducible factor (FIH)","James D Webb,Andrea Murányi,Christopher W Pugh,Peter J Ratcliffe,Mathew L Coleman",2009-05-13,,327-333,,en,
hal-00535195,1,https://hal.archives-ouvertes.fr/hal-00535195,ART,,"Polychaetes and oligochaetes associated with intertidal rocky shores in a semi-enclosed industrial and urban embayment\, with the description of two new species","Julio Parapar,Enrique Martínez-Ansemil,Carlos Caramelo,Rut Collado,Rüdiger Schmelz",2009-05-06,,293-308,,en,
hal-00635796,1,https://hal.archives-ouvertes.fr/hal-00635796,ART,,Distribution and abundance of fish larvae in the northern Ionian Sea (Eastern Mediterranean),"Antonia Granata,Annaluce Cubeta,Roberta Minutoli,Alessandro Bergamasco,Letterio Guglielmo",2010-10-26,,381-398,,en,
hal-00600454,1,https://hal.archives-ouvertes.fr/hal-00600454,ART,,Effect of wildfires and post-fire forest treatments on rabbit abundance,"Àlex Rollan,Joan Real",2010-06-15,,201-209,,en,
mnhn-00392451,1,https://hal-mnhn.archives-ouvertes.fr/mnhn-00392451,ART,,Four years of DNA barcoding: current advances and prospects.,"Lise Frézal,Raphael Leblois",2008-09,"0.sdv,1.sdv.bid,2.sdv.bid.spt",727-36,,en,
tel-01615814,1,https://tel.archives-ouvertes.fr/tel-01615814,THESE,2017LYSE1101,"Evènements moléculaires spécifiques au cours des adénocarcinomes pulmonaires lépidiques humains et animaux,Specific molecular events during lepidic pulmonary adenocarcinomas in humans and sheep",Maryline Gomes,2017-07-07,"0.sdv,1.sdv.mp,2.sdv.mp.vir",,,fr,
medihal-01617353,1,https://medihal.archives-ouvertes.fr/medihal-01617353,IMG,,Europe : Europe du Sud : Grèce : Crète : District régional de Réthymnon : Dème d'Agios Vassilios : Prasonisi beach : Balanes vivantes : Prise de vue 2/2 : Vue détaillée,Paolo Antonio Pirazzoli,1978,"0.shs,1.shs.geo",,gr,und,http://hal.archives-ouvertes.fr/licences/copyright/
medihal-01617348,1,https://medihal.archives-ouvertes.fr/medihal-01617348,IMG,,Europe : Europe du Sud : Grèce : Crète : District régional de Réthymnon : Dème d'Agios Vassilios : Prasonisi beach : Balanes vivantes : Prise de vue 1/2,Paolo Antonio Pirazzoli,1978,"0.shs,1.shs.geo",,gr,und,http://hal.archives-ouvertes.fr/licences/copyright/
medihal-01618148,1,https://medihal.archives-ouvertes.fr/medihal-01618148,IMG,,Océanie : France : Polynésie française : Iles Tuamotu : Iles Gambier : Ile Temoe : Nid de Fous à pieds rouges,Paolo Antonio Pirazzoli,1982,"0.shs,1.shs.geo",,pf,und,http://hal.archives-ouvertes.fr/licences/copyright/
medihal-01269626,1,https://medihal.archives-ouvertes.fr/medihal-01269626,IMG,,France : Landes et Bordelais : Aquitaine : Gironde : Cour d’une bergerie près de Cazalis,Emmanuel De Martonne,1898,"0.shs,1.shs.geo",,fr,und,http://hal.archives-ouvertes.fr/licences/copyright/
medihal-01052669,1,https://medihal.archives-ouvertes.fr/medihal-01052669,IMG,,France : Pyrénées : Midi-Pyrénées : Ariège : Ax-les-Thermes : Pâture,Auteur Inconnu,1898,"0.shs,1.shs.geo",,fr,und,http://creativecommons.org/choose/mark/
medihal-01569782,1,https://medihal.archives-ouvertes.fr/medihal-01569782,IMG,,Afrique : Afrique du Nord-Ouest : Mauritanie : Région Sud-Ouest : Région du Trarza : Lac Rkiz : Paysage de plaine à proximité du Lac Rkiz : Prise de vue 1/2,Paolo Antonio Pirazzoli,1979,"0.shs,1.shs.geo",,mr,und,http://hal.archives-ouvertes.fr/licences/copyright/
medihal-01569785,1,https://medihal.archives-ouvertes.fr/medihal-01569785,IMG,,Afrique : Afrique du Nord-Ouest : Mauritanie : Région Sud-Ouest : Région du Trarza : Lac Rkiz : Paysage de plaine à proximité du lac Rkiz : Prise de vue 2/2,Paolo Antonio Pirazzoli,1979,"0.shs,1.shs.geo",,mr,und,http://hal.archives-ouvertes.fr/licences/copyright/
medihal-00932529,1,https://medihal.archives-ouvertes.fr/medihal-00932529,IMG,,France : Jura : Franche-Comté : Pâturage dans le Doubs : Reproduction de carte postale,Auteur Inconnu,1898,"0.shs,1.shs.geo",,fr,und,http://creativecommons.org/choose/mark/
medihal-01586067,1,https://medihal.archives-ouvertes.fr/medihal-01586067,IMG,,Afrique : Afrique du Nord-Ouest : Sénégal : Région Nord-Ouest : Charrette sur une route entre le lac Retba et Fadiouth,Paolo Antonio Pirazzoli,1976,"0.shs,1.shs.geo",,sn,und,http://hal.archives-ouvertes.fr/licences/copyright/
medihal-01586087,1,https://medihal.archives-ouvertes.fr/medihal-01586087,IMG,,Afrique : Afrique du Nord-Ouest : Sénégal : Delta du Saloum : Région de Fatick : Département de Foundiougne : Sokone : Huîtres situées sur les racines de mangrove : Prise de vue 1/2,Paolo Antonio Pirazzoli,1976,"0.shs,1.shs.geo",,sn,und,http://hal.archives-ouvertes.fr/licences/copyright/
medihal-01586089,1,https://medihal.archives-ouvertes.fr/medihal-01586089,IMG,,Afrique : Afrique du Nord-Ouest : Sénégal : Delta du Saloum : Région de Fatick : Département de Foundiougne : Sokone : Huîtres situées sur les racines de mangrove : Prise de vue 2/2 : Vue détaillée,Paolo Antonio Pirazzoli,1976,"0.shs,1.shs.geo",,sn,und,http://hal.archives-ouvertes.fr/licences/copyright/
medihal-01586128,1,https://medihal.archives-ouvertes.fr/medihal-01586128,IMG,,Afrique : Afrique du Nord-Ouest : Région Nord-Ouest : Sénégal : Presqu'île du Cap-Vert : Région de Dakar : Dakar : Les Almadies : Mamelles : Vasques à oursins : Prise de vue 1/2 : Vue d'ensemble,Paolo Antonio Pirazzoli,1979,"0.shs,1.shs.geo",,sn,und,http://hal.archives-ouvertes.fr/licences/copyright/
medihal-01586131,1,https://medihal.archives-ouvertes.fr/medihal-01586131,IMG,,Afrique : Afrique du Nord-Ouest : Région Nord-Ouest : Sénégal : Presqu'île du Cap-Vert : Région de Dakar : Dakar : Les Almadies : Mamelles : Vasques à oursins : Prise de vue 1/2 : Vue détaillée,Paolo Antonio Pirazzoli,1979,"0.shs,1.shs.geo",,sn,und,http://hal.archives-ouvertes.fr/licences/copyright/
medihal-01589329,1,https://medihal.archives-ouvertes.fr/medihal-01589329,IMG,,Amérique : Amérique du Sud : Argentine : Région des Pampas : Province de Buenos Aires : Mar Chiquita : Nahuel Ruca : Paysage rural,Paolo Antonio Pirazzoli,1984,"0.shs,1.shs.geo",,ar,und,http://hal.archives-ouvertes.fr/licences/copyright/
medihal-01589442,1,https://medihal.archives-ouvertes.fr/medihal-01589442,IMG,,Asie : Asie de l'Est : Japon : Ile de Honshu : Région de Tohoku : Préfecture d'Akita : Matériaux polluants près des côtes,Paolo Antonio Pirazzoli,1974,"0.shs,1.shs.geo",,jp,und,http://hal.archives-ouvertes.fr/licences/copyright/
medihal-01588351,1,https://medihal.archives-ouvertes.fr/medihal-01588351,IMG,,Afrique : Afrique de l'Est : Tanzanie : Région de Dar es Salam : Dar es Salam : Port de pêche,Paolo Antonio Pirazzoli,1986,"0.shs,1.shs.geo",,tz,und,http://hal.archives-ouvertes.fr/licences/copyright/
medihal-01588353,1,https://medihal.archives-ouvertes.fr/medihal-01588353,IMG,,Afrique : Afrique de l'Est : Tanzanie : Région de Dar es Salam : Dar es Salam : Pirogues,Paolo Antonio Pirazzoli,1986,"0.shs,1.shs.geo",,tz,und,http://hal.archives-ouvertes.fr/licences/copyright/
medihal-01585320,1,https://medihal.archives-ouvertes.fr/medihal-01585320,IMG,,Afrique : Afrique du Nord-Ouest : Sénégal : Région Nord-Est : Vallée du Ferlo : Puits de Mbouba,Paolo Antonio Pirazzoli,1979,"0.shs,1.shs.geo",,sn,und,http://hal.archives-ouvertes.fr/licences/copyright/
medihal-01585328,1,https://medihal.archives-ouvertes.fr/medihal-01585328,IMG,,Afrique : Afrique du Nord-Ouest : Sénégal : Région Nord-Ouest : Région de Saint-Louis : Saint-Louis : Vautours moines dépeçant un mouton,Paolo Antonio Pirazzoli,1979,"0.shs,1.shs.geo",,sn,und,http://hal.archives-ouvertes.fr/licences/copyright/
medihal-01585341,1,https://medihal.archives-ouvertes.fr/medihal-01585341,IMG,,Afrique : Afrique du Nord-Ouest : Sénégal : Région Nord-Ouest : Région de Saint-Louis : Keur Momar Sarr : Troupeau de zébus,Paolo Antonio Pirazzoli,1979,"0.shs,1.shs.geo",,sn,und,http://hal.archives-ouvertes.fr/licences/copyright/
medihal-01585520,1,https://medihal.archives-ouvertes.fr/medihal-01585520,IMG,,Afrique : Afrique du Nord-Ouest : Sénégal : Région de Thiès : Département M'bour : Petite-côte : Île de Fadiouth : Enclos d'animaux au bord du rivage : Prise de vue 1/2,Paolo Antonio Pirazzoli,1976,"0.shs,1.shs.geo",,sn,und,http://hal.archives-ouvertes.fr/licences/copyright/
medihal-01585524,1,https://medihal.archives-ouvertes.fr/medihal-01585524,IMG,,Afrique : Afrique du Nord-Ouest : Sénégal : Région de Thiès : Département M'bour : Petite-côte : Île de Fadiouth : Enclos d'animaux au bord du rivage : Prise de vue 2/2,Paolo Antonio Pirazzoli,1976,"0.shs,1.shs.geo",,sn,und,http://hal.archives-ouvertes.fr/licences/copyright/
medihal-01585527,1,https://medihal.archives-ouvertes.fr/medihal-01585527,IMG,,Afrique : Afrique du Nord-Ouest : Sénégal : Région de Thiès : Département M'bour : Petite-côte : Île de Fadiouth : Paysage rural au bord de la lagune à basse mer,Paolo Antonio Pirazzoli,1976,"0.shs,1.shs.geo",,sn,und,http://hal.archives-ouvertes.fr/licences/copyright/
medihal-01587332,1,https://medihal.archives-ouvertes.fr/medihal-01587332,IMG,,Afrique : Afrique du Nord-Ouest : Région Nord-Ouest : Sénégal : Presqu'île du Cap-Vert : Région de Dakar : Dakar : Plage avec des chèvres,Paolo Antonio Pirazzoli,1976,"0.shs,1.shs.geo",,sn,und,http://hal.archives-ouvertes.fr/licences/copyright/
medihal-01587335,1,https://medihal.archives-ouvertes.fr/medihal-01587335,IMG,,Afrique : Afrique du Nord-Ouest : Région Nord-Ouest : Sénégal : Presqu'île du Cap-Vert : Région de Dakar : Marché de chèvres et moutons pour la Tabaski,Paolo Antonio Pirazzoli,1976,"0.shs,1.shs.geo",,sn,und,http://hal.archives-ouvertes.fr/licences/copyright/
medihal-01587352,1,https://medihal.archives-ouvertes.fr/medihal-01587352,IMG,,Afrique : Afrique du Nord-Ouest : Région Nord-Ouest : Sénégal : Presqu'île du Cap-Vert : Région de Dakar : Pikine : Ancienne lagune,Paolo Antonio Pirazzoli,1976,"0.shs,1.shs.geo",,sn,und,http://hal.archives-ouvertes.fr/licences/copyright/
medihal-01585152,1,https://medihal.archives-ouvertes.fr/medihal-01585152,IMG,,Afrique : Afrique du Nord-Ouest : Sénégal : Région Nord-Ouest : Région de Saint-Louis : Dagana : Troupeau de zébus venant boire au fleuve,Paolo Antonio Pirazzoli,1979,"0.shs,1.shs.geo",,sn,und,http://hal.archives-ouvertes.fr/licences/copyright/
medihal-00938848,1,https://medihal.archives-ouvertes.fr/medihal-00938848,IMG,,France : Massif Central : Limousin : Creuse : Foire à Evaux-les-Bains,Auteur Inconnu,1898,"0.shs,1.shs.geo",,fr,und,http://creativecommons.org/choose/mark/
medihal-00938881,1,https://medihal.archives-ouvertes.fr/medihal-00938881,IMG,,"France : Massif Central : Limousin : Haute-Vienne : Intérieur d'étable à Eyjeaux\, au sud de Limoges",Auteur Inconnu,1898,"0.shs,1.shs.geo",,fr,und,http://creativecommons.org/choose/mark/
medihal-00938888,1,https://medihal.archives-ouvertes.fr/medihal-00938888,IMG,,France : Massif Central : Limousin : Haute-Vienne : Eymoutiers : La foire de septembre,Auteur Inconnu,1898,"0.shs,1.shs.geo",,fr,und,http://creativecommons.org/choose/mark/
hal-01587936,1,https://hal.inria.fr/hal-01587936,COMM,,Fireflies: Biomimicry-Inspired InfoVis for Exploring Public Opinion about an Infectious Disease,"Bon Adriel Aseniero,Charles Perin,Marjan Eggermont,Sheelagh Carpendale",2016-10-23,"0.info,1.info.info-hc",,us,en,
medihal-01620409,1,https://medihal.archives-ouvertes.fr/medihal-01620409,IMG,,Océanie : France : Polynésie française : Archipel des Tuamotu : Iles Palliser : Atoll de Kaukura : Platier avec un requin près de Faro,Paolo Antonio Pirazzoli,1980,"0.shs,1.shs.geo",,pf,und,http://hal.archives-ouvertes.fr/licences/copyright/
medihal-00979302,1,https://medihal.archives-ouvertes.fr/medihal-00979302,IMG,,France : Landes et Bordelais : Aquitaine : Gironde : Bernos-Beaulac : Attelage de bœufs avec équipements d'une scierie en arrière-plan,Auteur Inconnu,1898,"0.shs,1.shs.geo",,fr,und,http://creativecommons.org/choose/mark/
medihal-01468687,2,https://medihal.archives-ouvertes.fr/medihal-01468687v2,IMG,,Afrique : Afrique de l'Ouest : Burkina Faso : Région Centre : Province du Kadiogo : Boassa : Culture attelée nouvellement introduite au village,Philippe Rékacewicz,1985,"0.shs,1.shs.geo",,bf,und,http://hal.archives-ouvertes.fr/licences/copyright/
medihal-01065557,2,https://medihal.archives-ouvertes.fr/medihal-01065557v2,IMG,,Amérique du Sud : Brésil : État du Maranhão : Jeune Amérindien Tupi,Auteur Inconnu,1898,"0.shs,1.shs.geo",,br,und,http://creativecommons.org/choose/mark/
medihal-01065707,2,https://medihal.archives-ouvertes.fr/medihal-01065707v2,IMG,,Amérique du Sud : Brésil : État du Maranhão : Vacher à tablier de cuir,Auteur Inconnu,1898,"0.shs,1.shs.geo",,br,und,http://creativecommons.org/choose/mark/
medihal-00936156,2,https://medihal.archives-ouvertes.fr/medihal-00936156v2,IMG,,France : Bas Dauphiné : Rhône-Alpes : Ferme,Auteur Inconnu,1898,"0.shs,1.shs.geo",,fr,und,http://creativecommons.org/choose/mark/
medihal-00979310,2,https://medihal.archives-ouvertes.fr/medihal-00979310v2,IMG,,France : Landes et Bordelais : Aquitaine : Landes : Résinier à côté d'un attelage bovin,Auteur Inconnu,1898,"0.shs,1.shs.geo",,fr,und,http://creativecommons.org/choose/mark/
medihal-01466035,2,https://medihal.archives-ouvertes.fr/medihal-01466035v2,IMG,,"Amérique du Sud : Brésil : Nordeste : État de Bahia : Salvador : Montreur de serpents\, près du Mercado Modelo",Emmanuel De Martonne,1933,"0.shs,1.shs.geo",,br,und,http://hal.archives-ouvertes.fr/licences/copyright/
medihal-01269831,2,https://medihal.archives-ouvertes.fr/medihal-01269831v2,IMG,,France : Alpes : Rhône-Alpes : Haute-Savoie : Lapiaz au Praz de Lys près de Taninges : Prise de vue 1/2,Emmanuel De Martonne,1898,"0.shs,1.shs.geo",,fr,und,http://hal.archives-ouvertes.fr/licences/copyright/
medihal-00920952,1,https://medihal.archives-ouvertes.fr/medihal-00920952,IMG,,France : Flandre : Nord-Pas-de-Calais : Nord : Moisson près de Douai : Prise de vue 2/3,Auteur Inconnu,1898,"0.shs,1.shs.geo",,fr,und,http://creativecommons.org/choose/mark/
medihal-00921245,1,https://medihal.archives-ouvertes.fr/medihal-00921245,IMG,,France : Picardie : Nord-Pas-de-Calais : Pas-de-Calais : Prés salés de l'estuaire de la Canche,Auteur Inconnu,1898,"0.shs,1.shs.geo",,fr,und,http://creativecommons.org/choose/mark/
medihal-01065904,1,https://medihal.archives-ouvertes.fr/medihal-01065904,IMG,,"Amérique du Sud : Brésil : État du Paraná : Nord du Paraná\, habitation de pionniers",Auteur Inconnu,1898,"0.shs,1.shs.geo",,br,und,http://creativecommons.org/choose/mark/
medihal-00968211,1,https://medihal.archives-ouvertes.fr/medihal-00968211,IMG,,France : Causses : Languedoc-Roussillon : Lozère : Ferme sur le Causse Méjean,Auteur Inconnu,1898,"0.shs,1.shs.geo",,fr,und,http://creativecommons.org/choose/mark/
medihal-01063264,1,https://medihal.archives-ouvertes.fr/medihal-01063264,IMG,,France : Pays Méditerranéens : Languedoc-Roussillon : Hérault : Massif de la Gardiole : Lapiés enterrés,Auteur Inconnu,1898,"0.shs,1.shs.geo",,fr,und,http://creativecommons.org/choose/mark/
medihal-01063175,1,https://medihal.archives-ouvertes.fr/medihal-01063175,IMG,,France : Pays Méditerranéens : Languedoc-Roussillon : Pyrénées-Orientales : Pâturage à Font-Romeu : Reproduction de carte postale,Auteur Inconnu,1898,"0.shs,1.shs.geo",,fr,und,http://creativecommons.org/choose/mark/
medihal-01063036,1,https://medihal.archives-ouvertes.fr/medihal-01063036,IMG,,France : Alpes : Provence-Alpes-Côte d'Azur : Alpes-Maritimes : Calade près de Tourettes,Auteur Inconnu,1898,"0.shs,1.shs.geo",,fr,und,http://creativecommons.org/choose/mark/
medihal-01063152,1,https://medihal.archives-ouvertes.fr/medihal-01063152,IMG,,France : Alpes : Provence-Alpes-Côte d'Azur : Alpes-Maritimes : Calade devant un village,Auteur Inconnu,1898,"0.shs,1.shs.geo",,fr,und,http://creativecommons.org/choose/mark/
medihal-01063486,1,https://medihal.archives-ouvertes.fr/medihal-01063486,IMG,,France : Pays Méditerranéens : Languedoc-Roussillon : Hérault : Pâturage sur le massif de la Gardiole,Auteur Inconnu,1898,"0.shs,1.shs.geo",,fr,und,http://creativecommons.org/choose/mark/
medihal-01065723,1,https://medihal.archives-ouvertes.fr/medihal-01065723,IMG,,Amérique du Sud : Brésil : Amazonie : État du Pará : Île de Marajó : Prairie en basses eaux,Auteur Inconnu,1898,"0.shs,1.shs.geo",,br,und,http://creativecommons.org/choose/mark/
medihal-01065893,1,https://medihal.archives-ouvertes.fr/medihal-01065893,IMG,,Amérique du Sud : Brésil : État du Paraná : Épicerie d'une ville pionnière dans le Nord,Auteur Inconnu,1898,"0.shs,1.shs.geo",,br,und,http://creativecommons.org/choose/mark/
medihal-01065725,1,https://medihal.archives-ouvertes.fr/medihal-01065725,IMG,,Amérique du Sud : Brésil : Amazonie : État du Pará : Île de Marajó : Corral,Auteur Inconnu,1898,"0.shs,1.shs.geo",,br,und,http://creativecommons.org/choose/mark/
medihal-01065807,1,https://medihal.archives-ouvertes.fr/medihal-01065807,IMG,,Amérique du Sud : Brésil : Nordeste : État de Bahia : Ilhéus : Déchargement du cacao aux docks,Auteur Inconnu,1898,"0.shs,1.shs.geo",,br,und,http://creativecommons.org/choose/mark/
hal-00599221,1,https://hal.archives-ouvertes.fr/hal-00599221,ART,,Biodistribution of PVP-hypericin and hexaminolevulinate-induced PpIX in normal and orthotopic tumor-bearing rat urinary bladder,"Joachim Vandepitte,Ben Cleynenbreugel,Klaudia Hettinger,Hendrik Poppel,Peter A. M. Witte",2010-06-09,,775-781,,en,
medihal-00920833,1,https://medihal.archives-ouvertes.fr/medihal-00920833,IMG,,France : Flandre : Nord-Pas-de-Calais : Nord : Moisson près de Douai : Prise de vue 1/3,Auteur Inconnu,1898,"0.shs,1.shs.geo",,fr,und,http://creativecommons.org/choose/mark/
medihal-00920958,1,https://medihal.archives-ouvertes.fr/medihal-00920958,IMG,,France : Flandre : Nord-Pas-de-Calais : Nord : Moisson près de Douai : Prise de vue 3/3,Auteur Inconnu,1898,"0.shs,1.shs.geo",,fr,und,http://creativecommons.org/choose/mark/
medihal-01613417,1,https://medihal.archives-ouvertes.fr/medihal-01613417,IMG,,Asie : Asie de l'Est : Japon : Ile de Kyushu : Préfecture de Kumamoto : Mont Aso : Prise de vue 4/4,Paolo Antonio Pirazzoli,1974,"0.shs,1.shs.geo",,jp,und,http://hal.archives-ouvertes.fr/licences/copyright/
medihal-01613094,1,https://medihal.archives-ouvertes.fr/medihal-01613094,IMG,,Asie : Asie de l'Est : Japon : Ile de Honshu : Région de Kansai : Péninsule de Kii : Préfecture de Wakayama : Shirahama : Vermets,Paolo Antonio Pirazzoli,1974,"0.shs,1.shs.geo",,jp,und,http://hal.archives-ouvertes.fr/licences/copyright/
medihal-00934139,1,https://medihal.archives-ouvertes.fr/medihal-00934139,IMG,,France : Bassin parisien : Champagne : Champagne-Ardenne : Aube : Ferme à Rosnay-l'Hôpital,Auteur Inconnu,1898,"0.shs,1.shs.geo",,fr,und,http://creativecommons.org/choose/mark/
medihal-00934240,1,https://medihal.archives-ouvertes.fr/medihal-00934240,IMG,,France : Bassin parisien : Sologne : Centre : Loir-et-Cher : Ferme à Vernou-en-Sologne,Auteur Inconnu,1898,"0.shs,1.shs.geo",,fr,und,http://creativecommons.org/choose/mark/
medihal-00934742,1,https://medihal.archives-ouvertes.fr/medihal-00934742,IMG,,France : Bourgogne : Côte-d'Or : Paysage rural du Haut Auxois,Auteur Inconnu,1898,"0.shs,1.shs.geo",,fr,und,http://creativecommons.org/choose/mark/
medihal-00931965,1,https://medihal.archives-ouvertes.fr/medihal-00931965,IMG,,France : Bassin parisien : Île-de-France : Paris : La Seine gelée en 1868 : Reproduction de gravure,Auteur Inconnu,1898,"0.shs,1.shs.geo",,fr,und,http://creativecommons.org/choose/mark/
medihal-00696064,1,https://medihal.archives-ouvertes.fr/medihal-00696064,IMG,,Kenya : Région de Nairobi : Parc National de Nairobi : Groupe de babouins dans la savane,Daniel Carillon,1970-06,"0.shs,1.shs.geo,0.shs,1.shs.envir",,ke,und,http://creativecommons.org/licenses/by-nc-sa/
medihal-00994050,1,https://medihal.archives-ouvertes.fr/medihal-00994050,IMG,,Rayon : 2 pipe à représentation animales,Dominique Michelet,1973-10-27,"0.shs,1.shs.archeo",,mx,und,http://creativecommons.org/licenses/by-nc-nd/
hal-01611410,1,https://hal.archives-ouvertes.fr/hal-01611410,REPORT,,Report on climate change impacts on gastro-intestinal parasites,"Zsuzsanna Zsuppan,Maurice Mahieu",2014,"0.sdv,1.sdv.sa",13 p.,,en,
jpa-00232554,1,https://hal.archives-ouvertes.fr/jpa-00232554,ART,,The singularity structure of fixed cycle directed site animals,J.A.M. Silva Duarte,1985,"0.phys,1.phys.hist",523-528,,en,
medihal-00979286,1,https://medihal.archives-ouvertes.fr/medihal-00979286,IMG,,France : Landes et Bordelais : Aquitaine : Landes : Champ de foire à Peyrehorade,Auteur Inconnu,1898,"0.shs,1.shs.geo",,fr,und,http://creativecommons.org/choose/mark/
medihal-00968204,1,https://medihal.archives-ouvertes.fr/medihal-00968204,IMG,,France : Causses : Languedoc-Roussillon : Lozère : Moutons sur le Causse Méjean,Auteur Inconnu,1898,"0.shs,1.shs.geo",,fr,und,http://creativecommons.org/choose/mark/
medihal-01267339,1,https://medihal.archives-ouvertes.fr/medihal-01267339,IMG,,France : Massif Central : Auvergne : Puy-de-Dôme : La Chaîne des Puys vue depuis le puy de Pariou,Emmanuel De Martonne,1898,"0.shs,1.shs.geo",,fr,und,http://hal.archives-ouvertes.fr/licences/copyright/
medihal-01267246,1,https://medihal.archives-ouvertes.fr/medihal-01267246,IMG,,France : Bourgogne : Mâconnais : Bourgogne : Saône-et-Loire : Le fossé de Cluny,Emmanuel De Martonne,1898,"0.shs,1.shs.geo",,fr,und,http://hal.archives-ouvertes.fr/licences/copyright/
medihal-01267222,1,https://medihal.archives-ouvertes.fr/medihal-01267222,IMG,,France : Bourgogne : Morvan : Bourgogne : Nièvre : Méandre de l’Yonne à Chevroches au sud de Clamecy,Emmanuel De Martonne,1898,"0.shs,1.shs.geo",,fr,und,http://hal.archives-ouvertes.fr/licences/copyright/
medihal-01468752,1,https://medihal.archives-ouvertes.fr/medihal-01468752,IMG,,Afrique : Afrique de l'Ouest : Burkina Faso : Région de la Boucle du Mouhoun : Province du Sourou : Vallée du Sourou à Lanfièra,Philippe Rékacewicz,1985,"0.shs,1.shs.geo",,bf,und,http://hal.archives-ouvertes.fr/licences/copyright/
medihal-00921265,1,https://medihal.archives-ouvertes.fr/medihal-00921265,IMG,,France : Picardie : Picardie : Somme : Pâturages près de Cayeux-sur-Mer,Auteur Inconnu,1898,"0.shs,1.shs.geo",,fr,und,http://creativecommons.org/choose/mark/
medihal-01064738,1,https://medihal.archives-ouvertes.fr/medihal-01064738,IMG,,Amérique du Sud : Pérou : Passage d'un train d'ouvriers sur un pont en bois,Auteur Inconnu,1898,"0.shs,1.shs.geo",,pe,und,http://creativecommons.org/choose/mark/
medihal-01064926,1,https://medihal.archives-ouvertes.fr/medihal-01064926,IMG,,Amérique du Sud : Cordillère des Andes : Pérou : Région d'Arequipa : Arequipa,Auteur Inconnu,1898,"0.shs,1.shs.geo",,pe,und,http://creativecommons.org/choose/mark/
medihal-01062243,1,https://medihal.archives-ouvertes.fr/medihal-01062243,IMG,,France : Alpes : Rhône-Alpes : Savoie : Les Brévières : Reproduction de carte postale,Auteur Inconnu,1898,"0.shs,1.shs.geo",,fr,und,http://creativecommons.org/choose/mark/
medihal-01062311,1,https://medihal.archives-ouvertes.fr/medihal-01062311,IMG,,France : Alpes : Rhône-Alpes : Savoie : Pâturage près des Allues,Auteur Inconnu,1898,"0.shs,1.shs.geo",,fr,und,http://creativecommons.org/choose/mark/
